advert_id,manufacturer_id,model_id,Year,Engine size (litres),Mileage (miles),fuel_type_id,transmission_type_id,Colour,body_type_id,Mpg,wheel_drive_type_id,Doors,Seats,Engine power (bhp),Top speed (mph),Acceleration (0-62 mph) (seconds),CO2 rating (g/km),Tank range (miles),price,status
29929569,24,62,2013,1.149,45513,1,2,BLACK,2,51.4,2,5,5,75,104,15.4,127,509,6890,
29929578,14,54,2014,1.597,64394,2,2,GREEN,2,78.5,2,5,5,118,129,10.9,94,863,7490,
29929579,10,127,2015,1.364,99317,1,2,BLUE,2,42.2,3,5,5,138,118,9.4,155,501,6490,
29929580,31,115,2014,2.191,53755,2,2,BLUE,1,72.4,2,4,5,148,131,9.1,104,987,9490,inactive on: 04/09/2023
29929588,17,40,2013,1.56,98726,2,2,BLACK,2,67.3,2,5,5,113,120,10.9,109,785,4490,inactive on: 18/09/2023
29929595,22,53,2016,1.2,55882,1,2,RED,2,65.7,2,5,4,82,106,10.9,99,506,6490,
29929597,10,127,2015,1.598,85928,2,2,WHITE,2,65.7,2,5,5,134,119,9.3,114,752,7490,
29929605,11,30,2013,1.968,83800,2,3,BLACK,1,56.5,2,4,5,175,138,8.2,132,808,10490,
29929607,15,26,2015,1.685,72235,2,2,BLACK,6,55.4,2,5,5,114,107,11.9,135,707,8490,
29929609,1,1,2013,1.995,88788,2,3,SILVER,6,60.1,1,5,5,184,140,7.6,124,754,11990,
29929612,1,22,2019,1.496,21527,2,3,WHITE,2,68.9,1,3,5,116,124,10.5,118,788,19671,
29929616,14,89,2016,1.597,97217,2,2,GREY,6,64.2,2,5,5,118,113,11.2,115,819,10490,
29929668,4,66,2017,2.993,96000,2,3,WHITE,6,40.9,3,5,5,258,130,7.0,182,801,29995,
29929669,13,107,2013,0.999,45463,1,3,WHITE,5,65.7,1,2,2,71,90,13.7,98,477,4991,inactive on: 10/09/2023
29929676,6,36,2010,1.248,35673,1,3,GREY,2,47.9,2,5,5,76,97,14.4,139,369,6291,inactive on: 10/09/2023
29929683,11,171,2010,4.991,49400,1,3,Grey,6,20.2,3,5,5,572,155,4.6,333,355,24995,inactive on: 18/09/2023
29929694,22,283,2015,1.56,8328,2,3,BLACK,1,70.6,2,4,5,115,122,13.1,104,1118,11995,
29929701,17,284,2016,1.997,101000,2,3,SILVER,2,57.7,2,5,5,148,132,9.9,128,762,8750,
29929704,17,52,2009,1.242,65000,1,2,Blue,2,55.4,2,3,4,69,99,13.1,119,427,2295,
29929713,1,124,2016,1.995,79765,2,3,BLUE,7,60.1,1,2,4,190,142,8.0,124,754,14991,inactive on: 10/09/2023
29929714,26,61,2013,1.995,83712,2,3,RED,2,46.3,3,5,5,143,120,9.5,160,479,9491,
29929716,26,61,2011,1.995,100269,2,3,WHITE,2,46.3,3,5,5,143,120,9.5,160,479,6991,inactive on: 04/09/2023
29929718,16,285,2011,1.364,41788,2,2,BLACK,2,57.6,3,5,5,89,109,12.5,130,532,5491,
29929722,22,81,2021,1.2,18800,1,2,RED,2,47.9,2,5,5,130,117,9.5,141,558,20990,inactive on: 10/09/2023
29929723,28,286,2009,5.0,80250,1,3,GREY,5,23.0,1,2,4,503,155,4.6,292,357,14500,
29929730,17,31,2009,1.596,148527,1,2,RED,2,47.9,2,3,5,118,120,9.9,139,443,2000,inactive on: 04/09/2023
29929740,8,253,2018,2.925,48000,2,3,BLACK,1,52.3,1,4,5,282,155,6.0,139,805,39995,
29929742,17,31,2009,1.596,98794,1,2,BLUE,2,47.9,2,3,5,118,120,9.9,139,443,3250,inactive on: 04/09/2023
29929743,5,71,2017,1.968,62000,2,2,GREY,6,58.9,2,5,5,148,127,9.3,125,751,20990,
29929764,9,150,2019,1.749,30571,2,2,RED,6,42.8,2,5,7,148,121,10.7,137,565,19000,
29929766,5,157,2019,1.968,59980,2,3,WHITE,6,49.6,2,5,5,148,135,8.9,117,720,19250,
29929788,11,74,2017,1.968,40740,2,3,WHITE,1,62.8,3,4,5,187,146,7.2,121,801,19990,
29929789,1,1,2014,1.995,86136,2,3,BLACK,1,61.4,1,4,5,218,152,6.6,122,770,11650,inactive on: 10/09/2023
29929814,31,115,2019,1.998,52627,1,2,GREY,1,42.2,2,4,5,163,134,9.4,146,576,15500,inactive on: 04/09/2023
29929835,10,80,2018,1.398,17514,1,2,SILVER,2,43.5,2,5,5,89,109,13.2,130,431,10495,
29929836,9,169,2014,1.198,61494,1,2,BLUE,9,65.7,2,5,5,97,113,11.3,99,593,6395,
29929845,10,14,2019,1.399,54372,1,2,SILVER,6,47.1,2,5,5,148,134,8.2,125,497,15594,
29929869,24,96,2014,1.461,74000,2,2,BLACK,2,76.4,2,5,5,90,106,13.1,95,756,7495,
